fecha,serial,evento,responsable_nuevo,area_nueva,cargo_nueva,ubicacion_nueva,estado_nuevo,proveedor_nuevo,empresa_nueva,observaciones
2026-09-25,123,NUEVO,ALEJANDRO,,TIC,CALLE 99,BODEGA,PROPIO,SERVIALCO,test,test,PORTATIL,portatil,PROPIO
2026-09-25,123,NUEVO,ALEJANDRO,,TIC,CALLE 99,ASIGNADO,AYS,SERVIALCO,test,test,MONITOR,sansung,ALQUILER
2026-09-25,123,NUEVO,ALEJANDRO,TIC,TIC,CALLE 99,ASIGNADO,PROPIO,SERVIALCO,test,test,MONITOR,sansung,PROPIO
2026-09-25,123,NUEVO,ALEJANDRO,TIC,TIC,CALLE 99,ASIGNADO,PROPIO,SERVIALCO,test,test,ESCRITORIO,sansung,PROPIO
2026-09-25,123,NUEVO,ALEJANDRO,TIC,TIC,CALLE 99,BODEGA,PROPIO,SERVIALCO,test,test,MONITOR,sansung,PROPIO
2026-09-25,123,ELIMINAR,,,,,ASIGNADO,PROPIO,SERVIALCO,,,PORTATIL,,PROPIO
2026-09-25,123,DEVOLVER,,,,,ASIGNADO,AYS,SERVIALCO,test,,PORTATIL,,ALQUILER
2026-09-25,123,NUEVO,ALEJANDRO,TIC,TIC,CALLE 99,SOPORTE,PROPIO,SERVIALCO,test,test,ESCRITORIO,sansung,PROPIO
2026-09-18,123,NUEVO,ALEJANDRO,TIC,TIC,CALLE 99,BODEGA,AYS,SERVIALCO,test,test,MONITOR,,ALQUILER
2026-09-25,123,NUEVO,ALEJANDRO,TIC,TIC,CALLE 99,DEVUELTO,UNICAT,UNICAT,test,test,PORTATIL,sansung,ALQUILER
